Net Status Report
Filename     : C:\Users\Kuba\Documents\PCB\iot-gateway\iot-gateway.PcbDoc
Date         : 24.02.2018
Time         : 13:48:24
Time Elapsed : 00:00:00

Nets, Layer, Length
    NetTP1_1_U_ISM_3_1, Signal Layers Only, 0mils
    NetTP2_1_U_ISM_0_1, Signal Layers Only, 0mils
    NetTP2_1_U_ISM_1_1, Signal Layers Only, 0mils
    NetTP2_1_U_ISM_2_1, Signal Layers Only, 0mils
    NetTP2_1_U_ISM_3_1, Signal Layers Only, 0mils
    NetTP3_1_U_ISM_0_1, Signal Layers Only, 0mils
    NetTP3_1_U_ISM_1_1, Signal Layers Only, 0mils
    NetTP3_1_U_ISM_2_1, Signal Layers Only, 0mils
    NetTP3_1_U_ISM_3_1, Signal Layers Only, 0mils
    NetTP4_1_U_ISM_0_1, Signal Layers Only, 0mils
    NetTP4_1_U_ISM_1_1, Signal Layers Only, 0mils
    NetTP4_1_U_ISM_2_1, Signal Layers Only, 0mils
    NetTP4_1_U_ISM_3_1, Signal Layers Only, 0mils
    P12V, Signal Layers Only, 0mils
    P12V0, Signal Layers Only, 0mils
    P3V3, Signal Layers Only, 7656.265mils
    P3V3_ETH, Signal Layers Only, 912.889mils
    P5V0, Signal Layers Only, 0mils
    RD_N, Signal Layers Only, 0mils
    RD_P, Signal Layers Only, 0mils
    RF_U_ISM_0, Signal Layers Only, 0mils
    RF_U_ISM_1, Signal Layers Only, 0mils
    RF_U_ISM_2, Signal Layers Only, 0mils
    RF_U_ISM_3, Signal Layers Only, 0mils
    RST, Signal Layers Only, 3816.991mils
    SDIO_CLK, Signal Layers Only, 1344.108mils
    SDIO_CMD, Signal Layers Only, 1188.612mils
    SDIO_D0, Signal Layers Only, 2048.073mils
    SDIO_D1, Signal Layers Only, 2015.495mils
    SDIO_D2, Signal Layers Only, 1605.465mils
    SDIO_D3, Signal Layers Only, 1500.661mils
    SDIO_DET, Signal Layers Only, 69.041mils
    SPI1_MISO, Signal Layers Only, 2441.945mils
    SPI1_MOSI, Signal Layers Only, 934.002mils
    SPI1_NSS, Signal Layers Only, 2252.696mils
    SPI1_SCK, Signal Layers Only, 2432.88mils
    SPI2_MISO, Signal Layers Only, 3839.449mils
    SPI2_MOSI, Signal Layers Only, 3915.702mils
    SPI2_NSS, Signal Layers Only, 4082.107mils
    SPI2_SCK, Signal Layers Only, 4159.366mils
    SPI3_MISO, Signal Layers Only, 2825.666mils
    SPI3_MOSI, Signal Layers Only, 3123.977mils
    SPI3_NSS, Signal Layers Only, 3241.831mils
    SPI3_SCK, Signal Layers Only, 2981.847mils
    SPI4_MISO, Signal Layers Only, 2270.385mils
    SPI4_MOSI, Signal Layers Only, 2350.059mils
    SPI4_NSS, Signal Layers Only, 2211.268mils
    SPI4_SCK, Signal Layers Only, 2261.228mils
    SPI5_MISO, Signal Layers Only, 0mils
    SPI5_MOSI, Signal Layers Only, 0mils
    SPI5_NSS, Signal Layers Only, 0mils
    SPI5_SCK, Signal Layers Only, 0mils
    SPI6_MISO, Signal Layers Only, 0mils
    SPI6_MOSI, Signal Layers Only, 0mils
    SPI6_NSS, Signal Layers Only, 0mils
    SPI6_SCK, Signal Layers Only, 0mils
    SWCLK, Signal Layers Only, 0mils
    SWDIO, Signal Layers Only, 0mils
